target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65531;65526;0;5;200;;;;;
200;201;65526;65526;0;0;200;;;;;
200;201;65526;65526;0;0;200;;;;;
200;201;65526;65526;0;0;200;;;;;
200;200;65526;65526;0;0;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;5;0;0;5;200;;;;;
200;200;0;0;0;0;200;;;;;
200;200;0;0;0;0;200;;;;;
200;200;0;0;0;0;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;15;10;0;5;200;;;;;
200;199;30;20;0;10;200;;;;;
200;198;25;20;0;5;200;;;;;
200;198;25;20;0;5;200;;;;;
200;198;25;20;0;5;200;;;;;
200;198;25;20;0;5;200;;;;;
200;198;26;20;1;5;200;;;;;
200;198;26;20;1;5;200;;;;;
200;198;26;20;1;5;200;;;;;
200;198;26;20;1;5;200;;;;;
200;198;21;20;1;0;200;;;;;
200;198;22;20;2;0;200;;;;;
200;198;22;20;2;0;200;;;;;
200;198;22;20;2;0;200;;;;;
200;198;22;20;2;0;200;;;;;
200;198;22;20;2;0;200;;;;;
200;198;23;20;3;0;200;;;;;
200;198;23;20;3;0;200;;;;;
200;198;23;20;3;0;200;;;;;
200;198;23;20;3;0;200;;;;;
200;198;23;20;3;0;200;;;;;
200;198;24;20;4;0;200;;;;;
200;198;24;20;4;0;200;;;;;
200;198;24;20;4;0;200;;;;;
200;198;24;20;4;0;200;;;;;
200;198;24;20;4;0;200;;;;;
200;198;25;20;5;0;200;;;;;
200;198;25;20;5;0;200;;;;;
200;198;25;20;5;0;200;;;;;
200;198;25;20;5;0;200;;;;;
200;198;25;20;5;0;200;;;;;
200;198;26;20;6;0;200;;;;;
200;199;26;20;6;0;200;;;;;
200;198;11;10;6;65531;200;;;;;
200;199;11;10;6;65531;200;;;;;
200;199;11;10;6;65531;200;;;;;
200;199;11;10;6;65531;200;;;;;
